praca,preco_vista,preco_30d,variacao,data
Roraima,293.0,296.0,-7.75,2025-12-27
SP Barretos,317.5,321.0,0.0,2025-12-27
SP Araçatuba,317.5,321.0,0.0,2025-12-27
MG Triângulo,308.5,312.0,-2.69,2025-12-27
MG B.Horizonte,313.5,317.0,-1.27,2025-12-27
MG Norte,308.5,312.0,-2.69,2025-12-27
MG Sul,306.5,310.0,-3.32,2025-12-27
GO Goiânia,308.5,312.0,-2.69,2025-12-27
GO Reg. Sul,306.0,309.0,-3.64,2025-12-27
MS Dourados,309.5,313.0,-2.37,2025-12-27
MS C. Grande,310.5,314.0,-2.06,2025-12-27
MS Três Lagoas,308.5,312.0,-2.69,2025-12-27
RS Oeste (kg),10.6,10.7,0.16,2025-12-27
RS Pelotas (kg),10.7,10.8,1.11,2025-12-27
BA Sul,299.0,302.0,-5.85,2025-12-27
BA Oeste,311.5,315.0,-1.74,2025-12-27
RJ,319.5,323.0,0.63,2025-12-27
MT Sudoeste,287.0,290.0,-9.65,2025-12-27
ES,302.0,305.0,-4.91,2025-12-27
Acre,262.0,265.0,-17.41,2025-12-27
TO Norte,297.0,300.0,-6.49,2025-12-27
TO Sul,297.0,300.0,-6.49,2025-12-27
RO Sudeste,272.0,275.0,-14.24,2025-12-27
PA Paragominas,302.0,305.0,-4.91,2025-12-27
PA Redenção,289.0,292.0,-9.02,2025-12-27
MT Norte,297.0,300.0,-6.49,2025-12-27
Alagoas,302.0,305.0,-4.91,2025-12-27
MA Oeste,297.0,300.0,-6.49,2025-12-27
SC,322.5,326.0,1.58,2025-12-27
PR Noroeste,323.5,327.0,1.9,2025-12-27
MT Sudeste,297.0,300.0,-6.49,2025-12-27
MT Cuiabá*,299.0,302.0,-5.85,2025-12-27
PA Marabá,295.0,298.0,-7.12,2025-12-27
RS Pelotas (kg),10.7,10.8,1.11,2025-12-28
RS Oeste (kg),10.6,10.7,0.16,2025-12-28
MS Três Lagoas,308.5,312.0,-2.69,2025-12-28
MS C. Grande,310.5,314.0,-2.06,2025-12-28
MS Dourados,309.5,313.0,-2.37,2025-12-28
GO Reg. Sul,306.0,309.0,-3.64,2025-12-28
MG B.Horizonte,313.5,317.0,-1.27,2025-12-28
MG Sul,306.5,310.0,-3.32,2025-12-28
MG Norte,308.5,312.0,-2.69,2025-12-28
MG Triângulo,308.5,312.0,-2.69,2025-12-28
SP Araçatuba,317.5,321.0,0.0,2025-12-28
SP Barretos,317.5,321.0,0.0,2025-12-28
BA Sul,299.0,302.0,-5.85,2025-12-28
GO Goiânia,308.5,312.0,-2.69,2025-12-28
BA Oeste,311.5,315.0,-1.74,2025-12-28
MT Norte,297.0,300.0,-6.49,2025-12-28
Roraima,293.0,296.0,-7.75,2025-12-28
MT Sudoeste,287.0,290.0,-9.65,2025-12-28
RJ,319.5,323.0,0.63,2025-12-28
ES,302.0,305.0,-4.91,2025-12-28
Acre,262.0,265.0,-17.41,2025-12-28
TO Norte,297.0,300.0,-6.49,2025-12-28
RO Sudeste,272.0,275.0,-14.24,2025-12-28
PA Paragominas,302.0,305.0,-4.91,2025-12-28
TO Sul,297.0,300.0,-6.49,2025-12-28
PA Marabá,295.0,298.0,-7.12,2025-12-28
Alagoas,302.0,305.0,-4.91,2025-12-28
MA Oeste,297.0,300.0,-6.49,2025-12-28
SC,322.5,326.0,1.58,2025-12-28
PR Noroeste,323.5,327.0,1.9,2025-12-28
MT Sudeste,297.0,300.0,-6.49,2025-12-28
MT Cuiabá*,299.0,302.0,-5.85,2025-12-28
PA Redenção,289.0,292.0,-9.02,2025-12-28
MS Dourados,309.5,313.0,-2.37,2025-12-29
BA Sul,299.0,302.0,-5.85,2025-12-29
RS Pelotas (kg),10.7,10.8,1.11,2025-12-29
RS Oeste (kg),10.6,10.7,0.16,2025-12-29
MS Três Lagoas,308.5,312.0,-2.69,2025-12-29
MS C. Grande,310.5,314.0,-2.06,2025-12-29
GO Reg. Sul,306.0,309.0,-3.64,2025-12-29
BA Oeste,311.5,315.0,-1.74,2025-12-29
MG Sul,306.5,310.0,-3.32,2025-12-29
