praca,preco_vista,preco_30d,data
Roraima,271.0,274.0,2025-12-27
SP Barretos,308.5,312.0,2025-12-27
SP Araçatuba,308.5,312.0,2025-12-27
MG Triângulo,302.0,305.0,2025-12-27
MG B.Horizonte,306.5,310.0,2025-12-27
MG Norte,306.5,310.0,2025-12-27
MG Sul,297.0,300.0,2025-12-27
GO Goiânia,299.0,302.0,2025-12-27
GO Reg. Sul,298.0,301.0,2025-12-27
MS Dourados,297.0,300.0,2025-12-27
MS C. Grande,299.0,302.0,2025-12-27
MS Três Lagoas,297.0,300.0,2025-12-27
RS Oeste (kg),10.2,10.3,2025-12-27
RS Pelotas (kg),10.4,10.5,2025-12-27
BA Sul,289.0,292.0,2025-12-27
BA Oeste,302.0,305.0,2025-12-27
RJ,297.0,300.0,2025-12-27
MT Sudoeste,277.0,280.0,2025-12-27
ES,292.0,295.0,2025-12-27
Acre,250.5,253.0,2025-12-27
TO Norte,282.0,285.0,2025-12-27
TO Sul,285.0,288.0,2025-12-27
RO Sudeste,262.0,265.0,2025-12-27
PA Paragominas,282.0,285.0,2025-12-27
PA Redenção,279.0,282.0,2025-12-27
MT Norte,284.0,287.0,2025-12-27
Alagoas,287.0,290.0,2025-12-27
MA Oeste,272.0,275.0,2025-12-27
SC,306.5,310.0,2025-12-27
PR Noroeste,318.5,322.0,2025-12-27
MT Sudeste,289.0,292.0,2025-12-27
MT Cuiabá*,287.0,290.0,2025-12-27
PA Marabá,280.0,283.0,2025-12-27
RS Pelotas (kg),10.4,10.5,2025-12-28
RS Oeste (kg),10.2,10.3,2025-12-28
MS Três Lagoas,297.0,300.0,2025-12-28
MS C. Grande,299.0,302.0,2025-12-28
MS Dourados,297.0,300.0,2025-12-28
GO Reg. Sul,298.0,301.0,2025-12-28
MG B.Horizonte,306.5,310.0,2025-12-28
MG Sul,297.0,300.0,2025-12-28
MG Norte,306.5,310.0,2025-12-28
MG Triângulo,302.0,305.0,2025-12-28
SP Araçatuba,308.5,312.0,2025-12-28
SP Barretos,308.5,312.0,2025-12-28
BA Sul,289.0,292.0,2025-12-28
GO Goiânia,299.0,302.0,2025-12-28
BA Oeste,302.0,305.0,2025-12-28
MT Norte,284.0,287.0,2025-12-28
Roraima,271.0,274.0,2025-12-28
MT Sudoeste,277.0,280.0,2025-12-28
RJ,297.0,300.0,2025-12-28
ES,292.0,295.0,2025-12-28
Acre,250.5,253.0,2025-12-28
TO Norte,282.0,285.0,2025-12-28
RO Sudeste,262.0,265.0,2025-12-28
PA Paragominas,282.0,285.0,2025-12-28
TO Sul,285.0,288.0,2025-12-28
PA Marabá,280.0,283.0,2025-12-28
Alagoas,287.0,290.0,2025-12-28
MA Oeste,272.0,275.0,2025-12-28
SC,306.5,310.0,2025-12-28
PR Noroeste,318.5,322.0,2025-12-28
MT Sudeste,289.0,292.0,2025-12-28
MT Cuiabá*,287.0,290.0,2025-12-28
PA Redenção,279.0,282.0,2025-12-28
MS Dourados,297.0,300.0,2025-12-29
BA Sul,289.0,292.0,2025-12-29
RS Pelotas (kg),10.4,10.5,2025-12-29
RS Oeste (kg),10.2,10.3,2025-12-29
MS Três Lagoas,297.0,300.0,2025-12-29
MS C. Grande,299.0,302.0,2025-12-29
GO Reg. Sul,298.0,301.0,2025-12-29
BA Oeste,302.0,305.0,2025-12-29
MG Sul,297.0,300.0,2025-12-29
MG Norte,306.5,310.0,2025-12-29
MG B.Horizonte,306.5,310.0,2025-12-29
MG Triângulo,302.0,305.0,2025-12-29
SP Araçatuba,308.5,312.0,2025-12-29
SP Barretos,308.5,312.0,2025-12-29
GO Goiânia,299.0,302.0,2025-12-29
MT Norte,284.0,287.0,2025-12-29
Roraima,271.0,274.0,2025-12-29
MT Cuiabá*,287.0,290.0,2025-12-29
MT Sudoeste,277.0,280.0,2025-12-29
RJ,297.0,300.0,2025-12-29
ES,292.0,295.0,2025-12-29
Acre,250.5,253.0,2025-12-29
TO Sul,285.0,288.0,2025-12-29
RO Sudeste,262.0,265.0,2025-12-29
